index,hengsheng,production_ratio,expectation,interest,investment,property,delivery,M1
101.7225,2764.954583,98.16666667,94.06126886,1.935553968,5738.9375,9012.940833,168447,95460.65875
101.84125,2800.6775,98.11208333,94.46262201,1.926415476,5875.224583,9064.809583,170026.125,96356.26083
101.9508333,2822.471667,98.09083333,94.78804348,1.900555655,6011.57375,9134.84375,171404.4167,97302.43375
102.0604167,2847.606667,98.06625,95.02668589,1.872219246,6171.20125,9453.323333,172997.875,98262.70833
102.1733333,2899.405417,98.06469163,95.20024401,1.845236607,6280.265,9799.053958,174436.25,99157.69125
102.2925,2966.58375,98.09396658,95.3340284,1.798357441,6324.945,9926.700208,175493.75,100062.4321
102.3929167,3041.023333,98.10104992,95.44611801,1.767560417,6409.76,10050.1525,176799.3333,101043.0996
102.4475,3133.26375,98.09938325,95.55097604,1.754173314,6530.954583,10171.34833,178285.4167,102034.3196
102.44875,3223.843333,98.11188325,95.6377551,1.751105953,6662.305833,10270.53125,179825.4583,103084.8446
102.4145833,3306.898333,98.11063325,95.74261313,1.741015873,6846.4875,10379.60833,181398.2083,104216.4413
102.3675,3384.8425,98.08771658,95.87278172,1.709076587,7030.225,10412.66875,182888.7917,105413.11
102.3254167,3461.57875,98.09188325,96.00656611,1.648858135,7156.950417,10394.71458,184438.875,106681.7313
102.30625,3541.84625,98.11354992,96.21628217,1.582040476,7282.149583,10483.00542,186194.0417,107986.6508
102.3258333,3645.464583,98.13104992,96.48385093,1.523828472,7400.30125,10592.80542,187990.4167,109339.0708
102.36625,3784.699167,98.14229992,96.75865129,1.473148413,7521.702083,10682.10958,189662.2917,110761.0354
102.4191667,3961.586667,98.14438325,97.062378,1.434925794,7688.167917,10774.02708,192867.5833,112272.2213
102.4620833,4137.946667,98.12880879,97.35887312,1.406546726,7806.575625,10823.97938,196336.375,113938.1658
102.4604167,4279.542917,98.08615099,97.60836291,1.372090476,7858.280208,10834.74646,198209.5,115735.4317
102.4304167,4414.039167,98.08448432,97.74937888,1.346909226,7954.728333,10920.81167,199812.3333,117528.9829
102.4291667,4552.537917,98.11906766,97.87593168,1.340523512,8094.221667,11081.80458,201469.0417,119297.0433
102.49375,4716.117083,98.14448432,98.09287933,1.352244147,8246.975833,11244.6475,203248.7083,121061.4517
102.615,4925.586667,98.15573432,98.34598492,1.389216766,8460.339167,11408.87792,205406.125,122918.1858
